#top 200 of OTU table,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTUID #top 200 of OTU table,RP.C3,RP.C2,RP.C1,RP.B3,RP.B2,RP.B1,RP.A3,RP.A2,RP.A1,FP.C3,FP.C2,FP.C1,FP.B3,FP.B2,FP.B1,FP.A3,FP.A2,FP.A1,CK.C3,CK.C2,CK.C1,CK.B3,CK.B2,CK.B1,CK.A3,CK.A2,CK.A1
otu42397,16572,5545,5883,2894,2396,2458,902,2544,731,6369,6527,6256,1620,1537,1740,493,559,771,8324,7868,6330,1795,1287,1541,734,820,1350
otu91825,567,1194,1327,287,242,277,43,86,17,992,677,740,176,176,219,16,8,15,1229,937,1654,258,122,137,21,21,26
otu10400,440,498,465,338,429,341,359,619,94,420,429,423,399,394,360,419,173,331,361,530,393,427,472,520,447,443,524
otu161829,320,583,548,334,312,542,189,339,278,615,619,511,566,602,576,290,169,333,334,499,365,618,622,886,300,463,459
otu79475,320,173,196,190,103,138,69,152,44,266,309,267,53,62,96,43,26,33,241,325,95,71,64,101,51,73,71
otu173431,221,310,239,225,237,181,254,354,225,235,269,290,224,218,184,306,288,225,266,226,311,176,122,145,208,202,178
otu7255,212,194,172,522,477,345,336,500,325,220,273,258,576,515,618,155,262,224,255,254,174,524,314,442,349,615,522
otu10622,182,68,89,58,48,50,36,58,25,112,112,89,24,23,34,14,18,18,117,151,42,29,29,34,22,22,22
otu147728,173,309,286,195,196,177,169,246,150,234,251,212,248,247,218,178,213,213,176,210,209,277,234,258,236,206,285
otu173690,157,255,182,180,165,169,152,213,105,155,191,172,151,178,145,94,170,150,140,184,166,186,176,192,192,178,232
otu117513,143,166,139,173,182,190,139,327,108,152,159,128,207,210,177,198,103,174,110,110,126,212,216,203,158,145,184
otu9760,135,289,297,203,199,281,197,177,113,332,284,261,232,263,309,241,139,212,226,289,292,287,276,399,298,397,362
otu6972,135,116,111,58,32,38,5,19,6,93,115,153,21,18,21,8,5,6,193,189,177,18,13,25,6,8,20
otu150898,132,181,181,384,325,300,478,310,605,226,235,233,179,233,279,264,604,361,251,231,160,146,99,125,377,270,254
otu100071,126,174,142,202,198,199,189,211,152,147,119,150,131,143,139,141,167,156,160,108,144,125,95,93,158,138,121
otu124984,119,204,189,115,124,101,153,200,136,161,182,181,117,138,131,229,186,207,175,171,190,119,79,74,207,156,171
otu109080,110,45,44,56,39,37,25,41,9,69,62,64,12,13,28,5,6,15,74,92,12,10,13,15,8,13,23
otu46782,108,18,20,22,11,16,7,31,3,38,39,27,6,6,8,6,9,2,33,39,14,7,2,8,9,12,12
otu74662,106,117,126,269,238,235,183,200,186,146,113,146,271,239,277,78,169,117,147,107,98,124,156,152,174,220,183
otu116153,105,139,116,190,184,139,134,281,119,141,147,163,208,213,161,154,148,143,96,123,164,186,195,177,164,131,199
otu90512,103,9,9,6,3,4,2,28,0,12,10,7,0,0,2,0,0,0,4,12,1,0,0,5,0,3,2
otu90693,99,74,92,118,89,83,179,240,199,90,93,111,68,71,76,151,184,192,88,101,74,71,62,52,171,166,131
otu172122,98,165,203,218,247,153,306,239,455,202,201,258,167,169,153,286,490,293,194,157,189,113,79,86,347,281,241
otu149967,95,86,98,83,88,96,149,216,130,89,101,90,89,91,93,146,136,124,91,98,88,87,103,112,98,143,124
otu161723,92,91,63,44,38,36,40,39,218,58,49,74,81,85,93,84,55,61,52,49,57,49,83,53,38,57,58
otu44094,90,106,101,85,89,92,93,199,72,89,82,134,85,122,122,139,78,103,97,89,130,128,111,97,114,84,135
otu74175,87,82,66,45,53,69,159,73,274,53,55,93,111,97,87,86,162,207,67,55,171,92,380,71,182,73,31
otu115153,85,84,44,70,84,64,35,100,34,33,81,70,72,65,66,60,45,56,61,55,75,84,65,52,56,47,67
